state_code,county,lat,long,TEST_zipcode,TEST_county,TEST_state,TEST_population,TEST_population_density
LA,Lafourche,29.491992,-90.394849,70373,Lafourche Parish,LA,7141,99.0
LA,St. John the Baptist,30.144068,-90.49096,70068,St. John the Baptist Parish,LA,34101,634.0
MD,Carroll,39.563331,-77.015328,21157,Carroll County,MD,36920,482.0
MA,Barnstable,41.799014,-70.21188000000001,02638,Barnstable County,MA,3207,543.0
MA,Bristol,41.748588,-71.088894,02720,Bristol County,MA,30287,2786.0
MI,Monroe,41.916097,-83.48710600000001,48161,Monroe County,MI,26470,591.0
MN,Renville,44.723696999999994,-94.955617,56277,Renville County,MN,3191,30.0
MT,Missoula,47.027263,-113.89269099999999,59802,Missoula County,MT,18407,400.0
NJ,Mercer,40.282503000000005,-74.703724,08648,Mercer County,NJ,32263,1929.0
NM,Sandoval,35.685091,-106.883119,87024,Sandoval County,NM,2214,26.0
NY,Broome,42.161977,-75.830283,13833,Broome County,NY,4255,119.0
NY,Tioga,42.178057,-76.29745600000001,13811,Tioga County,NY,4354,69.0
NY,Tompkins,42.453006,-76.473483,14853,Tompkins County,NY,2755,11677.0
NC,Brunswick,34.038754,-78.227765,28422,Brunswick County,NC,6641,73.0
NC,Craven,35.116828999999996,-77.08131999999999,28562,Craven County,NC,36176,234.0
NC,Harnett,35.368635,-78.87161,27546,Harnett County,NC,19471,157.0
OH,Belmont,40.017682,-80.967727,43718,Belmont County,OH,3209,60.0
OH,Butler,39.439747,-84.56573399999999,45013,Butler County,OH,52613,456.0
OH,Franklin,39.969875,-83.009086,43215,Franklin County,OH,12790,2521.0
OH,Lorain,41.438805,-82.179722,44052,Lorain County,OH,29850,3234.0
OH,Summit,41.121846999999995,-81.53492800000001,44303,Summit County,OH,7700,3336.0
OH,Tuscarawas,40.44749,-81.47110500000001,44663,Tuscarawas County,OH,25362,272.0
OK,Jackson,34.594006,-99.412235,73521,Jackson County,OK,21636,118.0
PA,Allegheny,40.469757,-79.980451,15222,Allegheny County,PA,3294,4055.0
SC,Beaufort,32.358112,-80.689422,29902,Beaufort County,SC,14779,791.0
SC,Lexington,33.899477000000005,-81.266277,29073,Lexington County,SC,40775,508.0
TN,Campbell,36.401592,-84.159249,37766,Campbell County,TN,18850,123.0
TX,Brazoria,29.167817,-95.434647,77515,Brazoria County,TX,30309,148.0
TX,Hays,30.061225,-98.029267,78619,Hays County,TX,3026,79.0
UT,Summit,40.87206,-110.96848600000001,84017,Summit County,UT,3556,8.0
VT,Washington,44.274988,-72.609514,05602,Washington County,VT,11916,147.0
VT,Windsor,43.572685,-72.598821,05091,Windsor County,VT,3288,49.0
Virgin Islands,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
VA,Chesterfield,37.378434000000006,-77.585847,23832,Chesterfield County,VA,33739,855.0
VA,Spotsylvania,38.182431,-77.657226,22551,Spotsylvania County,VA,19242,111.0
WA,Klickitat,45.870446,-120.77930500000001,98613,Klickitat County,WA,400,4.0
WI,Winnebago,44.085707,-88.668149,54986,Winnebago County,WI,4770,168.0
AL,Lee,32.604064,-85.353048,36801,Lee County,AL,22214,310.0
AL,Shelby,33.263042999999996,-86.678089,35043,Shelby County,AL,9234,201.0
AR,Garland,34.578852000000005,-93.14693199999999,71956,Garland County,AR,1882,81.0
AR,Saline,34.648525,-92.674463,72019,Saline County,AR,23346,142.0
CA,San Bernardino,34.85722,-116.181197,92365,San Bernardino County,CA,2637,15.0
CA,Santa Barbara,34.537057,-120.039973,93463,Santa Barbara County,CA,7646,253.0
CO,Garfield,39.599352,-107.90978,81635,Garfield County,CO,5957,20.0
FL,Baker,30.324441999999998,-82.302284,32087,Baker County,FL,5518,41.0
FL,Citrus,28.84364,-82.52481,34461,Citrus County,FL,10562,219.0
GA,Clarke,33.952185,-83.367152,30601,Clarke County,GA,20835,883.0
GA,Clayton,33.542685999999996,-84.35557299999999,30236,Clayton County,GA,46434,1442.0
GA,Dougherty,31.532588,-84.20904,31707,Dougherty County,GA,25299,1349.0
GA,Newton,33.544041,-83.855184,30016,Newton County,GA,51140,558.0
Guam,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
HI,Maui,20.855931,-156.60155,96761,Maui County,HI,22156,287.0
IL,Clinton,38.606295,-89.42622800000001,62230,Clinton County,IL,6194,124.0
IL,Whiteside,41.750673,-89.911005,61261,Whiteside County,IL,975,54.0
IL,Winnebago,42.337396000000005,-89.16120500000001,61101,Winnebago County,IL,21593,519.0
IN,Hamilton,40.053507,-86.021713,46062,Hamilton County,IN,29730,873.0
IA,Allamakee,43.274964000000004,-91.382751,52172,Allamakee County,IA,6303,40.0
IA,Polk,41.684816,-93.56897099999999,50021,Polk County,IA,21595,839.0
KY,Clark,37.970314,-84.145115,40391,Clark County,KY,35262,147.0
LA,St. Bernard,29.91811,-89.263494,70085,St. Bernard Parish,LA,4427,115.0
ME,Lincoln,43.994781,-69.513624,04543,Lincoln County,ME,2218,179.0
MD,Baltimore city,39.300032,-76.610476,21202,Baltimore city,MD,22832,14384.0
MD,Howard,39.252264000000004,-76.924406,21042,Howard County,MD,38076,1016.0
MA,Hampden,42.136198,-72.635648,01089,Hampden County,MA,28391,1699.0
MA,Plymouth,41.987196000000004,-70.74194200000001,02364,Plymouth County,MA,12629,677.0
MI,Ottawa,42.942461,-86.654946,49441,Muskegon County,MI,36308,1669.0
MN,Waseca,44.01846,-93.589844,56093,Waseca County,MN,12831,71.0
MN,Washington,45.037929,-92.890117,55042,Washington County,MN,8840,361.0
MS,Hinds,32.267788,-90.46601700000001,39154,Hinds County,MS,10526,94.0
NH,Hillsborough,42.911532,-71.723055,03057,Hillsborough County,NH,2500,149.0
NY,Erie,42.752759000000005,-78.778192,14219,Erie County,NY,11536,1640.0
NY,Greene,42.279821000000005,-74.142025,12454,Greene County,NY,297,27.0
NY,Montgomery,42.900890999999994,-74.435357,12068,Montgomery County,NY,3201,104.0
NY,Putnam,41.427907,-73.743861,10512,Putnam County,NY,25590,469.0
NC,Watauga,36.235368,-81.709888,28604,Watauga County,NC,6249,95.0
NC,Wilson,35.700357000000004,-77.921598,27893,Wilson County,NC,39723,360.0
OH,Lucas,41.682321,-83.468903,43611,Lucas County,OH,19207,2760.0
OH,Medina,41.116174,-81.899764,44256,Medina County,OH,62039,466.0
OK,Cleveland,35.206376,-97.323088,73026,Cleveland County,OK,10437,97.0
OK,Kay,36.814885,-97.143862,74601,Kay County,OK,20257,118.0
OK,Payne,36.079225,-96.975255,74059,Payne County,OK,5476,47.0
OR,Yamhill,45.247827,-123.316399,97128,Yamhill County,OR,36141,338.0
PA,Lehigh,40.614241,-75.590627,18069,Lehigh County,PA,8017,580.0
PA,Luzerne,41.172787,-75.976035,18634,Luzerne County,PA,13569,915.0
SC,Anderson,34.521235,-82.638603,29621,Anderson County,SC,39101,457.0
SC,Greenville,34.892645,-82.372077,29609,Greenville County,SC,27722,1148.0
SC,Horry,33.909269,-78.976675,29526,Horry County,SC,39033,212.0
TX,Denton,33.205132,-97.12114,76205,Denton County,TX,18510,2188.0
UT,Utah,40.120425,-111.668508,84664,Utah County,UT,8033,470.0
WA,Lewis,46.580071000000004,-122.377444,98564,Lewis County,WA,2459,18.0
WA,Lincoln,47.582743,-118.41769199999999,99134,Lincoln County,WA,643,3.0
AK,Fairbanks North Star Borough,64.67604399999999,-146.548159,99714,Fairbanks North Star Borough,AK,1385,4.0
AR,Cleburne,35.566315,-92.05995,72530,Cleburne County,AR,1987,18.0
AR,Cleveland,33.893201,-92.188714,71665,Cleveland County,AR,6054,21.0
AR,Desha,33.828752,-91.24410300000001,71674,Desha County,AR,738,3.0
AR,Lincoln,33.957675,-91.727626,71667,Lincoln County,AR,8267,26.0
CA,Nevada,39.297508,-120.77134299999999,95959,Nevada County,CA,17838,72.0
FL,Escambia,30.611638,-87.3389,32533,Escambia County,FL,26493,354.0
FL,Lake,28.764113000000002,-81.712282,32778,Lake County,FL,18617,742.0
GA,Forsyth,34.225143,-84.127408,30041,Forsyth County,GA,52749,897.0
GA,Hall,34.317569,-83.8185,30501,Hall County,GA,28048,1284.0
GA,Paulding,33.92103,-84.86716899999999,30157,Paulding County,GA,45123,531.0
GA,Troup,33.034482000000004,-85.02835999999999,30241,Troup County,GA,23176,208.0
IL,Peoria,40.785971999999994,-89.766993,61528,Peoria County,IL,2668,146.0
IL,Will,41.448474,-87.97845600000001,60442,Will County,IL,9924,145.0
IN,Bartholomew,39.205843,-85.897999,47203,Bartholomew County,IN,25806,333.0
IN,Floyd,38.318081,-85.911847,47119,Floyd County,IN,10911,253.0
LA,Ascension,30.206444,-90.912502,70737,Ascension Parish,LA,38643,718.0
ME,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
MD,Frederick,39.470214,-77.397628,21701,Frederick County,MD,35293,907.0
MD,Talbot,38.748349,-76.178476,21662,Talbot County,MD,555,69.0
MA,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
MN,Benton,45.701225,-94.00144,56379,Benton County,MN,16163,179.0
MN,Blue Earth,44.03371,-94.064012,56037,Blue Earth County,MN,1635,23.0
MS,Hancock,30.391640999999996,-89.482791,39556,Hancock County,MS,7705,73.0
MS,Monroe,33.890029999999996,-88.485038,39730,Monroe County,MS,11805,47.0
MO,Cass,38.646474,-94.354547,64701,Cass County,MO,14385,123.0
NH,Carroll,43.867774,-71.20156,03875,Carroll County,NH,833,59.0
NJ,Hunterdon,40.565283,-74.911969,08867,Hunterdon County,NJ,5042,173.0
NJ,Somerset,40.565527,-74.619938,08869,Somerset County,NJ,6881,3452.0
NY,Allegany,42.247853000000006,-78.02615300000001,14813,Allegany County,NY,2520,41.0
NY,Onondaga,43.006516,-76.196134,13207,Onondaga County,NY,13897,4497.0
NY,Ontario,42.856357,-77.303497,14424,Ontario County,NY,27007,212.0
NC,Durham,36.033828,-78.878125,27701,Durham County,NC,21288,4034.0
OH,Geauga,41.499322,-81.173505,44065,Geauga County,OH,4433,204.0
OK,Canadian,35.543354,-97.979889,73036,Canadian County,OK,18595,101.0
OR,Benton,44.493882,-123.42466399999999,97333,Benton County,OR,21377,183.0
SC,Fairfield,34.395669,-81.127001,29180,Fairfield County,SC,14267,47.0
TN,Sevier,35.795345000000005,-83.518496,37863,Sevier County,TN,6569,358.0
TX,Bowie,33.446065000000004,-94.422393,75570,Bowie County,TX,11518,85.0
TX,Matagorda,28.774759999999997,-96.001532,77483,Matagorda County,TX,311,9.0
UT,Tooele,40.467753,-113.123979,84022,Tooele County,UT,896,3.0
UT,Wasatch,40.334884,-111.16156799999999,84032,Wasatch County,UT,17249,55.0
VT,Orange,44.003392,-72.369687,05039,Orange County,VT,1110,25.0
VA,Stafford,38.413261,-77.451334,22406,Stafford County,VA,20757,286.0
VA,York,37.219081,-76.56164799999999,23603,Newport News city,VA,3899,538.0
WI,Outagamie,44.418226000000004,-88.464988,54106,Outagamie County,WI,4997,55.0
WI,Wood,44.461413,-90.038825,54489,Wood County,WI,1550,35.0
AL,Madison,34.764238,-86.55108,35801,Madison County,AL,21509,1527.0
AL,St. Clair,33.712963,-86.315663,35120,St. Clair County,AL,13842,205.0
AK,Ketchikan Gateway Borough,55.449938,-131.106685,99901,Ketchikan Gateway Borough,AK,13508,3.0
AZ,Navajo,35.390785,-110.321025,86025,Navajo County,AZ,5676,8.0
CA,Kern,35.346629,-118.729506,93531,Kern County,CA,509,15.0
CA,Monterey,36.240107,-121.315572,93927,Monterey County,CA,17547,66.0
DE,Sussex,38.673227000000004,-75.337024,19947,Sussex County,DE,18799,157.0
FL,Brevard,28.298311,-80.700333,32952,Brevard County,FL,19881,1607.0
FL,Polk,27.953649,-81.693534,33884,Polk County,FL,28763,1435.0
GA,Richmond,33.361486,-82.074998,30815,Richmond County,GA,39640,303.0
GA,Whitfield,34.801726,-84.968541,30720,Whitfield County,GA,26895,555.0
HI,Hawaii,19.597764,-155.502443,96725,Hawaii County,HI,3592,46.0
ID,Madison,43.788614,-111.656993,83440,Madison County,ID,34610,203.0
IN,Franklin,39.409762,-85.066964,47030,Franklin County,IN,1636,49.0
IN,Lake,41.472246999999996,-87.374337,46410,Lake County,IN,38340,1299.0
IA,Adair,41.328528000000006,-94.478164,50849,Adair County,IA,2740,23.0
IA,Black Hawk,42.471132,-92.3076,50702,Black Hawk County,IA,19970,2129.0
KS,Douglas,38.896417,-95.290947,66047,Douglas County,KS,18268,345.0
KS,Ford,37.688416,-99.884748,67843,Ford County,KS,165,955.0
KY,Lyon,37.023976,-88.083391,42055,Lyon County,KY,2609,58.0
LA,East Baton Rouge,30.54393,-91.093131,70811,East Baton Rouge Parish,LA,13676,1173.0
LA,Washington,30.852144,-90.04625300000001,70438,Washington Parish,LA,18540,55.0
ME,Kennebec,44.417012,-69.765764,04330,Kennebec County,ME,26086,223.0
ME,Oxford,44.4945,-70.734421,04237,Oxford County,ME,238,34.0
ME,York,43.426019000000004,-70.668425,04073,York County,ME,16189,433.0
MI,Jackson,42.248474,-84.420868,49203,Jackson County,MI,38280,1457.0
MI,Otsego,45.021786999999996,-84.576603,49735,Otsego County,MI,19515,78.0
MN,Martin,43.677118,-94.537252,56181,Martin County,MN,1147,18.0
MN,Nicollet,44.35882,-94.245684,56074,Nicollet County,MN,2004,26.0
MS,Harrison,30.416535999999997,-89.083376,39501,Harrison County,MS,21987,1607.0
MS,Jackson,30.456004999999998,-88.625101,39553,Jackson County,MS,17174,650.0
MO,Boone,38.989861,-92.310202,65202,Boone County,MO,46547,313.0
MO,Cole,38.503233,-92.280027,65053,Cole County,MO,1425,41.0
MO,Jackson,39.005336,-94.343165,64064,Jackson County,MO,16223,933.0
NE,Knox,42.634403999999996,-97.891349,68724,Knox County,NE,140,4.0
NE,Sarpy,41.115064000000004,-96.109125,68046,Sarpy County,NE,25191,924.0
NJ,Gloucester,39.722875,-75.145679,08071,Gloucester County,NJ,9551,2898.0
NJ,Warren,40.853491,-75.009498,07823,Warren County,NJ,7571,299.0
NM,Taos,36.576529,-105.63798600000001,87580,Taos County,NM,449,19.0
NY,Clinton,44.752712,-73.70564300000001,12918,Clinton County,NY,2381,61.0
NY,Rensselaer,42.710421000000004,-73.51384499999999,12140,Rensselaer County,NY,1702,205.0
NY,Sullivan,41.719993,-74.77157700000001,12734,Sullivan County,NY,867,63.0
NY,Wyoming,42.701363,-78.228567,14569,Wyoming County,NY,6211,81.0
NC,Iredell,35.806249,-80.87451999999999,28625,Iredell County,NC,36189,185.0
NC,Sampson,34.989298,-78.371174,28328,Sampson County,NC,27042,106.0
ND,Burleigh,46.978829,-100.469533,58572,Burleigh County,ND,319,2.0
ND,Cass,46.927003000000006,-97.252375,58079,Cass County,ND,530,4.0
OH,Coshocton,40.29671,-81.930109,43812,Coshocton County,OH,19061,118.0
OH,Darke,40.131541999999996,-84.621248,45331,Darke County,OH,22930,153.0
OH,Lake,41.924116,-81.392643,44060,Lake County,OH,60211,1563.0
OH,Mahoning,41.01088,-80.77039599999999,44406,Mahoning County,OH,22054,415.0
OK,Pawnee,36.313704,-96.696669,74058,Pawnee County,OK,4259,17.0
OR,Lane,43.928329,-122.89769,97455,Lane County,OR,2538,106.0
PA,Beaver,40.68414,-80.350721,15009,Beaver County,PA,15082,615.0
SC,Calhoun,33.67478,-80.78034699999999,29135,Calhoun County,SC,8919,46.0
SC,Richland,34.029095,-80.898037,29206,Richland County,SC,17788,2075.0
SC,York,34.970188,-81.183187,29745,York County,SC,28919,214.0
TX,Brazos,30.656713,-96.30239399999999,77802,Brazos County,TX,23288,1983.0
TX,Ellis,32.346878000000004,-96.79694,75165,Ellis County,TX,37966,337.0
TX,Lubbock,33.611469,-101.81994399999999,79401,Lubbock County,TX,8408,3055.0
VA,Charlottesville city,38.037658,-78.485381,22904,Albemarle County,VA,4633,6992.0
VA,Goochland,37.718814,-77.917626,23153,Goochland County,VA,1334,101.0
VA,Henrico,37.631269,-77.651922,23233,Henrico County,VA,28908,2342.0
VA,Williamsburg city,37.269481,-76.70819300000001,23188,James City County,VA,38733,395.0
WA,Franklin,46.53458,-118.906944,99330,Franklin County,WA,907,12.0
WA,Mason,47.354126,-123.17385,98584,Mason County,WA,36630,107.0
WV,Jefferson,39.307398,-77.86322,25438,Jefferson County,WV,6266,705.0
WI,Kenosha,42.579703,-87.425005,53143,Kenosha County,WI,23264,5575.0
WY,Laramie,41.29283,-104.660395,82009,Laramie County,WY,31703,26.0
WY,Park,44.492387,-109.593597,82414,Park County,WY,15011,5.0
AL,Calhoun,33.770516,-85.82790899999999,36277,Calhoun County,AL,5420,645.0
AL,Talladega,33.369314,-86.17593000000001,35160,Talladega County,AL,26822,79.0
AK,Kenai Peninsula Borough,60.360766000000005,-152.05264,99568,Kenai Peninsula Borough,AK,279,14.0
AZ,Coconino,35.829692,-111.773728,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
AR,Bradley,33.466549,-92.169156,71647,Bradley County,AR,2111,8.0
AR,Faulkner,35.146547999999996,-92.336928,72032,Faulkner County,AR,31436,275.0
AR,Washington,35.978001,-94.21726899999999,72730,Washington County,AR,7585,366.0
CA,Mendocino,39.432388,-123.442881,95490,Mendocino County,CA,13264,34.0
CO,Yuma,40.00077,-102.421649,80727,Yuma County,CO,425,2.0
CT,Middlesex,41.433003,-72.52278000000001,06438,Middlesex County,CT,2550,208.0
DE,Kent,39.097088,-75.50298199999999,19962,Kent County,DE,10206,703.0
FL,Leon,30.45931,-84.2778,32301,Leon County,FL,29321,2837.0
FL,Sumter,28.714101,-82.074347,33585,Sumter County,FL,1058,62.0
FL,Walton,30.631210999999997,-86.176614,32435,Walton County,FL,6651,51.0
GA,Columbia,33.547631,-82.252296,30802,Columbia County,GA,6321,48.0
GA,Houston,32.458287,-83.662522,31047,Houston County,GA,11193,156.0
ID,Twin Falls,42.352309000000005,-114.66563899999998,83301,Twin Falls County,ID,52010,185.0
IL,Jackson,37.786096,-89.381212,62966,Jackson County,IL,15607,138.0
IL,Kankakee,41.139509999999994,-87.86111700000001,60915,Kankakee County,IL,10774,3399.0
IL,Kendall,41.58814,-88.430626,60560,Kendall County,IL,22415,288.0
IL,LaSalle,41.343340999999995,-88.885931,61350,LaSalle County,IL,24246,158.0
IL,Madison,38.82712,-89.900227,62025,Madison County,IL,33748,310.0
IL,Washington,38.35314,-89.417187,62263,Washington County,IL,5387,37.0
IL,Williamson,37.730353,-88.930018,62959,Williamson County,IL,26948,199.0
IN,Clark,38.476217,-85.711122,47143,Clark County,IN,3015,134.0
IN,Fayette,39.639655,-85.18503199999999,47331,Fayette County,IN,23429,123.0
IN,Jennings,38.996229,-85.628103,47265,Jennings County,IN,20911,109.0
IN,Madison,40.166203,-85.722454,46001,Madison County,IN,10459,142.0
IA,Washington,41.329401000000004,-91.725052,52353,Washington County,IA,9173,60.0
IA,Winneshiek,43.292989,-91.850788,52101,Winneshiek County,IA,13864,45.0
KS,Leavenworth,39.189510999999996,-95.038977,66007,Leavenworth County,KS,5614,247.0
KY,Franklin,38.234919,-84.868786,40601,Franklin County,KY,49566,225.0
KY,Kenton,38.930503,-84.533438,41051,Kenton County,KY,26796,922.0
KY,Warren,36.995634,-86.423579,42101,Warren County,KY,55648,197.0
LA,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
ME,Penobscot,45.409284,-68.666616,04448,Penobscot County,ME,1431,13.0
MA,Franklin,42.584503999999995,-72.591792,01376,Franklin County,MA,5247,1901.0
MN,Rice,44.350734,-93.298505,55021,Rice County,MN,29732,164.0
MS,Bolivar,33.799139000000004,-90.88412,38726,Bolivar County,MS,532,9.0
MS,Coahoma,34.22867,-90.603165,38614,Coahoma County,MS,20418,82.0
MS,DeSoto,34.874266,-89.99324,38651,DeSoto County,MS,7103,215.0
MS,Madison,32.634370000000004,-90.03416,39046,Madison County,MS,26398,85.0
MS,Perry,31.169307,-88.988755,39462,Perry County,MS,1122,21.0
MO,St. Charles,38.781102000000004,-90.674915,63376,St. Charles County,MO,70828,1705.0
MO,St. Louis city,38.635699,-90.244582,63108,St. Louis city,MO,21568,9627.0
NE,Adams,40.520632,-98.50004399999999,68973,Adams County,NE,463,9.0
NE,Lincoln,41.050321999999994,-100.74448100000001,69101,Lincoln County,NE,29904,51.0
NH,Belknap,43.519109,-71.425366,03246,Belknap County,NH,15963,796.0
NH,Merrimack,43.299579,-71.680041,03303,Merrimack County,NH,15524,230.0
NJ,Atlantic,39.469355,-74.633759,08330,Atlantic County,NJ,28167,234.0
NY,Chenango,42.478024,-75.602241,13815,Chenango County,NY,13999,131.0
NY,Essex,44.109601,-73.77843100000001,12942,Essex County,NY,646,12.0
NY,Hamilton,43.657879,-74.50245600000001,12108,Hamilton County,NY,416,3.0
NY,Jefferson,43.996389,-76.052968,13634,Jefferson County,NY,3984,90.0
NY,Livingston,42.727484999999994,-77.769779,14462,Livingston County,NY,655,55.0
NY,Warren,43.555105,-73.838139,12817,Warren County,NY,2274,42.0
NY,Washington,43.312377000000005,-73.439428,12838,Washington County,NY,608,120.0
NC,Gaston,35.293344,-81.177256,28054,Gaston County,NC,36270,1814.0
NC,Guilford,36.079065,-79.78866500000001,27401,Guilford County,NC,21932,3530.0
NC,Hoke,35.017233000000004,-79.241964,28376,Hoke County,NC,37991,263.0
NC,Lincoln,35.488490999999996,-81.226892,28092,Lincoln County,NC,38570,315.0
NC,Moore,35.308271999999995,-79.492725,27376,Moore County,NC,9386,135.0
NC,New Hanover,34.183442,-77.864209,28403,New Hanover County,NC,36063,2563.0
ND,Morton,46.710819,-101.298265,58520,Morton County,ND,264,1.0
OH,Ashland,40.843273,-82.270127,44805,Ashland County,OH,32345,211.0
OH,Clark,39.917032,-83.783676,45502,Clark County,OH,16110,139.0
OH,Delaware,40.278940999999996,-83.007462,43015,Delaware County,OH,48107,385.0
OH,Huron,41.14508,-82.59464100000001,44855,Huron County,OH,1271,47.0
OH,Miami,40.053326,-84.228413,45373,Miami County,OH,35131,411.0
PA,Adams,39.869471000000004,-77.21773,17307,Adams County,PA,5899,99.0
PA,Berks,40.413957,-75.92685999999999,19605,Berks County,PA,18985,1134.0
PA,Lackawanna,41.440284000000005,-75.609666,18512,Lackawanna County,PA,12218,1092.0
PA,York,39.921751,-76.728889,17403,York County,PA,39042,1909.0
SC,Lee,34.158640000000005,-80.251209,29010,Lee County,SC,13491,65.0
TN,Cheatham,36.255169,-87.100808,37015,Cheatham County,TN,17184,112.0
TN,Robertson,36.527509,-86.869354,37172,Robertson County,TN,28714,159.0
TN,Sumner,36.473442999999996,-86.45979799999999,37066,Sumner County,TN,42758,373.0
TX,Lavaca,29.382578000000002,-96.923633,77964,Lavaca County,TX,7569,13.0
TX,McLennan,31.549596,-97.201511,76710,McLennan County,TX,22686,2385.0
TX,Medina,29.353661,-99.111085,78861,Medina County,TX,13701,30.0
TX,Rusk,32.109423,-94.75638199999999,75654,Rusk County,TX,12417,61.0
TX,Webb,27.760799,-99.340752,78041,Webb County,TX,44153,2410.0
TX,Wichita,33.988212,-98.70801,76367,Wichita County,TX,13045,66.0
TX,Williamson,30.649082,-97.605065,78626,Williamson County,TX,25996,279.0
UT,Box Elder,41.276061,-113.126226,84329,Box Elder County,UT,202,0.0
UT,Cache,41.734117,-111.745399,84341,Cache County,UT,20109,1638.0
VA,Charles City,37.361053999999996,-77.05417,23030,Charles City County,VA,5128,35.0
VA,Richmond city,37.531399,-77.47600899999999,23219,Richmond city,VA,3781,2464.0
WA,Benton,46.228125,-119.516659,99320,Benton County,WA,9201,66.0
WV,Mercer,37.403448,-81.10645600000001,24740,Mercer County,WV,30435,190.0
WI,Brown,44.474024,-87.99613000000001,54301,Brown County,WI,22742,3471.0
WI,La Crosse,43.908221999999995,-91.111758,54669,La Crosse County,WI,7619,149.0
WI,Washington,43.391156,-88.232917,53095,Washington County,WI,27139,378.0
WY,Teton,44.048662,-110.42608700000001,83013,Teton County,WY,395,0.0
AL,Chambers,32.915504,-85.394032,36862,Chambers County,AL,6623,28.0
AL,Mobile,30.684571999999996,-88.196568,36609,Mobile County,AL,25846,3671.0
AL,Walker,33.791558,-87.30109399999999,35501,Walker County,AL,10424,209.0
AZ,Santa Cruz,31.525733000000002,-110.845228,85624,Santa Cruz County,AZ,1426,4.0
AZ,Yavapai,34.631071,-112.577225,86301,Yavapai County,AZ,20626,667.0
AR,Benton,36.337819,-94.256298,72719,Benton County,AR,8975,1055.0
AR,Boone,36.304299,-93.079236,72601,Boone County,AR,30163,82.0
AR,Clark,34.053315999999995,-93.176208,71923,Clark County,AR,15637,40.0
AR,Craighead,35.827729,-90.631421,72401,Craighead County,AR,53767,459.0
AR,Crittenden,35.211878999999996,-90.315332,72327,Crittenden County,AR,1732,17.0
AR,Grant,34.285568,-92.422979,72150,Grant County,AR,12006,41.0
AR,Greene,36.120607,-90.566346,72450,Greene County,AR,36033,126.0
AR,Independence,35.737499,-91.559942,72571,Independence County,AR,369,20.0
AR,Poinsett,35.568870000000004,-90.681104,72432,Poinsett County,AR,6462,41.0
AR,Polk,34.490915,-94.230884,71945,Polk County,AR,1437,20.0
AR,Pope,35.456557000000004,-93.026818,72837,Pope County,AR,7845,34.0
AR,Searcy,35.896387,-92.695888,72650,Searcy County,AR,4362,16.0
AR,Sebastian,35.196981,-94.274989,72936,Sebastian County,AR,14527,166.0
AR,Sevier,33.994877,-94.243279,71832,Sevier County,AR,11253,64.0
AR,Van Buren,35.582953,-92.515976,72031,Van Buren County,AR,7683,26.0
CO,Crowley,38.30618,-103.772736,81063,Crowley County,CO,2726,7.0
CO,Grand,40.113065,-106.11083700000002,80468,Grand County,CO,391,1.0
CO,Morgan,40.263159,-103.81221,80705,Morgan County,CO,884,2835.0
CT,Tolland,41.858081,-72.340978,06084,Tolland County,CT,15067,378.0
CT,Windham,41.824999,-71.990702,06259,Windham County,CT,4498,108.0
FL,Hernando,28.573043,-82.466227,34614,Hernando County,FL,6692,89.0
FL,Indian River,27.700528000000002,-80.574789,32967,Indian River County,FL,19518,468.0
FL,Jackson,30.789248999999998,-85.208814,32448,Jackson County,FL,8684,47.0
FL,Martin,27.083603999999998,-80.398201,34990,Martin County,FL,27707,299.0
GA,Bibb,32.808845,-83.694194,31206,Bibb County,GA,29072,1041.0
GA,Early,31.324191,-84.906723,39823,Early County,GA,8550,24.0
GA,Effingham,32.36168,-81.343372,31329,Effingham County,GA,9034,85.0
GA,Glynn,31.212709999999998,-81.49645,31520,Glynn County,GA,22336,1324.0
GA,Laurens,32.39322,-82.926317,31075,Laurens County,GA,2496,46.0
GA,Peach,32.571324,-83.831978,31008,Peach County,GA,18453,265.0
GA,Rockdale,33.652081,-84.02637,30013,Rockdale County,GA,25183,888.0
IN,Owen,39.317339000000004,-86.83884499999999,47460,Owen County,IN,11471,76.0
IN,Tippecanoe,40.389133,-86.89355400000001,47901,Tippecanoe County,IN,3518,5936.0
IN,Wayne,39.863091,-85.00673499999999,47345,Wayne County,IN,1448,49.0
IA,Dubuque,42.463481,-90.878771,52045,Dubuque County,IA,2589,54.0
IA,Muscatine,41.483776,-91.11869899999999,52760,Muscatine County,IA,533,24.0
KS,Cherokee,37.169391999999995,-94.845698,66725,Cherokee County,KS,5739,24.0
KS,Linn,38.216549,-94.844932,66075,Linn County,KS,2103,20.0
KS,Morris,38.688204,-96.651448,66873,Morris County,KS,319,4.0
KS,Sedgwick,37.681045000000005,-97.461054,67212,Sedgwick County,KS,44707,3523.0
KY,Christian,36.892059,-87.492986,42240,Christian County,KY,42479,158.0
KY,Daviess,37.731671,-87.08713900000001,42303,Daviess County,KY,38909,812.0
