state_code,county,lat,long,TEST_zipcode,TEST_county,TEST_state,TEST_population,TEST_population_density
SC,Kershaw,34.338356,-80.590885,29020,Kershaw County,SC,22463,99.0
UT,Davis,41.037559,-112.201943,84075,Davis County,UT,24506,1732.0
UT,Washington,37.262531,-113.4878,84781,Washington County,UT,188,3.0
WA,Clark,45.77173,-122.48595300000001,98604,Clark County,WA,34232,473.0
WA,Jefferson,47.805708,-123.52705700000001,98320,Jefferson County,WA,1250,13.0
WA,Pierce,47.051413000000004,-122.15324,98360,Pierce County,WA,12221,176.0
CA,Fresno,36.761006,-119.655019,93727,Fresno County,CA,71820,2209.0
CA,Madera,37.209821000000005,-119.749802,93614,Madera County,CA,11661,102.0
CA,Riverside,33.729828000000005,-116.00223899999999,92236,Riverside County,CA,41083,1877.0
CA,Santa Cruz,37.012488,-122.007205,95065,Santa Cruz County,CA,8113,725.0
DC,District of Columbia,38.904247,-77.01651700000001,20260,District of Columbia,DC,0,
FL,Charlotte,26.868973999999998,-81.941278,33955,Charlotte County,FL,10060,186.0
FL,Okaloosa,30.665851,-86.594187,32536,Okaloosa County,FL,19709,423.0
FL,Volusia,29.057769,-81.161792,32724,Volusia County,FL,31826,336.0
GA,Cobb,33.93993,-84.574112,30060,Cobb County,GA,34562,2114.0
GA,Gwinnett,33.959146000000004,-84.023087,30046,Gwinnett County,GA,34523,2204.0
KS,Johnson,38.883907,-94.82233000000001,66062,Johnson County,KS,74411,1558.0
MA,Berkshire,42.371493,-73.217928,01240,Berkshire County,MA,4534,212.0
MO,St. Louis,38.640688,-90.446073,63141,St. Louis County,MO,20593,1457.0
NH,Rockingham,42.988664,-71.09908,03044,Rockingham County,NH,4263,252.0
NY,Saratoga,43.106134999999995,-73.855387,12833,Saratoga County,NY,4401,125.0
OR,Jackson,42.411621000000004,-122.675611,97524,Jackson County,OR,14459,47.0
OR,Klamath,42.683761,-121.64616799999999,97624,Klamath County,OR,3500,8.0
PA,Montgomery,40.209998999999996,-75.370201,19426,Montgomery County,PA,38831,1145.0
VT,Bennington,43.035325,-73.11146,05262,Bennington County,VT,2547,33.0
VA,Fairfax,38.82952,-77.273252,22032,Fairfax County,VA,29377,3957.0
WA,Kittitas,47.124441,-120.676709,98946,Kittitas County,WA,495,27.0
CT,Fairfield,41.227413,-73.36706099999999,06883,Fairfield County,CT,10179,514.0
GA,Cherokee,34.244316999999995,-84.47505699999999,30114,Cherokee County,GA,49774,461.0
IN,Hendricks,39.768963,-86.509908,46122,Hendricks County,IN,14671,166.0
IA,Johnson,41.670668,-91.590529,52241,Johnson County,IA,18911,1592.0
KY,Harrison,38.444578,-84.334131,41031,Harrison County,KY,15886,73.0
KY,Jefferson,38.189532,-85.657624,40218,Jefferson County,KY,31658,3253.0
MD,Harford,39.537428999999996,-76.299789,21014,Harford County,MD,36047,2559.0
MA,Worcester,42.311693,-71.940282,01612,Worcester County,MA,4845,316.0
MN,Carver,44.82132,-93.80009100000001,55322,Carver County,MN,3163,58.0
NJ,Passaic,41.037890000000004,-74.29828,07420,Passaic County,NJ,4942,1985.0
NY,Suffolk,40.943554,-72.69221800000001,11933,Suffolk County,NY,6844,247.0
NY,Ulster,41.947212,-74.265458,12494,Ulster County,NY,764,41.0
OR,Douglas,43.286328000000005,-123.154476,97470,Douglas County,OR,19985,116.0
OR,Marion,44.900898,-122.57626,97381,Marion County,OR,14711,135.0
SC,Spartanburg,34.933271000000005,-81.991052,29301,Spartanburg County,SC,31051,1134.0
TN,Davidson,36.169129,-86.78479,37219,Davidson County,TN,1162,5489.0
TN,Shelby,35.183794,-89.895397,38134,Shelby County,TN,41948,2254.0
WA,Kitsap,47.639595,-122.649634,98311,Kitsap County,WA,25880,2384.0
AZ,Pima,32.128043,-111.783657,85653,Pima County,AZ,15083,43.0
CA,Shasta,40.760514,-122.04355600000001,96069,Shasta County,CA,982,11.0
CO,Arapahoe,39.644554,-104.33170600000001,80102,Adams County,CO,5514,19.0
CO,Larimer,40.658093,-105.486764,80536,Larimer County,CO,1759,5.0
GA,DeKalb,33.770661,-84.226343,30002,DeKalb County,GA,5861,3456.0
GA,Fayette,33.412717,-84.493941,30215,Fayette County,GA,33665,470.0
GA,Floyd,34.263692,-85.213685,30161,Floyd County,GA,35058,247.0
IN,Noble,41.404678999999994,-85.417271,46701,Noble County,IN,7979,83.0
IA,Pottawattamie,41.340184,-95.544905,51553,Pottawattamie County,IA,1013,22.0
LA,Jefferson,29.522281,-90.081001,70067,Jefferson Parish,LA,2757,263.0
MD,Prince George's,38.829288,-76.84818,20762,Prince George's County,MD,2973,504.0
NJ,Hudson,40.731375,-74.078601,07306,Hudson County,NJ,52669,19352.0
NJ,Monmouth,40.287048,-74.152446,07722,Monmouth County,NJ,10209,278.0
NJ,Union,40.659871,-74.308696,07016,Union County,NJ,22625,4685.0
OH,Cuyahoga,41.760391999999996,-81.72421700000001,44123,Cuyahoga County,OH,17637,6809.0
PA,Monroe,41.05624,-75.329065,18372,Monroe County,PA,3210,363.0
TX,Collin,33.194532,-96.579444,75069,Collin County,TX,34108,1064.0
VA,Virginia Beach city,36.779985,-76.02520799999999,23454,Virginia Beach city,VA,60283,1970.0
WI,Pierce,44.725336,-92.42627900000001,54011,Pierce County,WI,6819,66.0
CA,San Joaquin,37.934982,-121.272244,95205,San Joaquin County,CA,38069,4188.0
CA,Ventura,34.358740999999995,-119.13314299999999,93060,Ventura County,CA,32811,276.0
CO,Gunnison,38.670499,-107.05688,81230,Gunnison County,CO,9075,5.0
FL,Alachua,29.67574,-82.357221,32603,Alachua County,FL,6741,4925.0
FL,Collier,26.118786,-81.40095500000001,34117,Collier County,FL,14250,201.0
FL,Nassau,30.605963,-81.765087,32011,Nassau County,FL,13854,80.0
FL,Pasco,28.307710999999998,-82.464832,34637,Pasco County,FL,6297,458.0
FL,Pinellas,27.903108000000003,-82.739519,33771,Pinellas County,FL,29839,5074.0
GA,Charlton,30.779904,-82.13964399999999,31562,Charlton County,GA,2177,20.0
IL,Kane,41.939594,-88.42804,60175,Kane County,IL,25564,747.0
IL,McHenry,42.324298,-88.45224499999999,60098,McHenry County,IL,32228,306.0
IN,Adams,40.745733,-84.93613,46711,Adams County,IN,7698,129.0
IN,Boone,40.050892,-86.469014,46052,Boone County,IN,22060,124.0
LA,Orleans,30.053420000000003,-89.934502,70126,Orleans Parish,LA,23958,2371.0
MA,Essex,42.642708,-70.864909,01982,Essex County,MA,7764,547.0
MI,Oakland,42.660452,-83.38421,48328,Oakland County,MI,24960,2761.0
MI,Wayne,42.284664,-83.261953,48125,Wayne County,MI,21273,5253.0
MN,Anoka,45.27411,-93.242723,55011,Anoka County,MN,10170,226.0
NJ,Burlington,39.875786,-74.66300600000001,08068,Burlington County,NJ,6727,289.0
OR,Multnomah,45.547711,-122.417363,97024,Multnomah County,OR,10242,2925.0
PA,Philadelphia,40.009376,-75.133346,19140,Philadelphia County,PA,54133,17736.0
SD,Beadle,44.418265000000005,-98.279422,57350,Beadle County,SD,14534,47.0
SD,Charles Mix,43.206185,-98.59514300000001,57342,Charles Mix County,SD,558,3.0
SD,Davison,43.680439,-98.155868,57363,Davison County,SD,1003,6.0
SD,Minnehaha,43.667472,-96.795726,57020,Minnehaha County,SD,1502,93.0
TN,Sullivan,36.509681,-82.30133599999999,37617,Sullivan County,TN,14251,242.0
TX,Dallas,32.766987,-96.778424,75226,Dallas County,TX,3506,3130.0
TX,Montgomery,30.298801,-95.50295,77304,Montgomery County,TX,21314,563.0
TX,Tarrant,32.772119,-97.291224,76111,Tarrant County,TX,21685,2627.0
UT,Weber,41.270325,-111.876883,84310,Weber County,UT,4111,36.0
VA,Loudoun,39.0812,-77.638898,20175,Loudoun County,VA,27169,435.0
WA,Skagit,48.493292,-121.81577,98283,Skagit County,WA,434,1.0
WA,Whatcom,48.842653000000006,-121.836432,98266,Whatcom County,WA,3642,152.0
AR,Jefferson,34.277239,-91.929673,71601,Jefferson County,AR,17327,158.0
CA,Stanislaus,37.562315999999996,-121.002831,95307,Stanislaus County,CA,42753,1276.0
CO,Pitkin,39.217538,-106.91615900000001,81654,Pitkin County,CO,1391,16.0
DE,New Castle,39.575915,-75.644132,19720,New Castle County,DE,59250,1597.0
FL,Miami-Dade,25.61058,-80.497099,33187,Miami-Dade County,FL,16315,412.0
FL,St. Johns,29.890487,-81.40004,32084,St. Johns County,FL,29729,624.0
GA,Bartow,34.240916999999996,-84.838188,30120,Bartow County,GA,38085,414.0
GA,Lee,31.818419,-84.146681,31787,Lee County,GA,1488,17.0
GA,Lowndes,30.833145000000002,-83.26899499999999,31606,Lowndes County,GA,3861,88.0
IL,Lake,42.326440999999996,-87.435976,60040,Lake County,IL,5431,7710.0
IN,Howard,40.483537,-86.114118,46901,Howard County,IN,37633,271.0
IN,Johnson,39.496092,-86.094264,46184,Johnson County,IN,11806,577.0
IN,St. Joseph,41.617723,-86.288048,46614,St. Joseph County,IN,29573,559.0
LA,Caddo,32.577195,-93.882423,71107,Caddo Parish,LA,33800,237.0
MD,Baltimore,39.443166999999995,-76.616569,21093,Baltimore County,MD,36465,1805.0
MN,Olmsted,43.999499,-92.410099,55904,Olmsted County,MN,26332,423.0
MS,Forrest,31.188579999999998,-89.259447,39401,Forrest County,MS,43366,226.0
NJ,Middlesex,40.439621,-74.40743,08816,Middlesex County,NJ,46298,2254.0
NM,Bernalillo,35.053628,-106.66908000000001,87102,Bernalillo County,NM,21204,3264.0
NM,Santa Fe,35.51453,-105.963972,87508,Santa Fe County,NM,18183,123.0
NM,Socorro,33.991658,-106.939136,87832,Socorro County,NM,600,0.0
NY,Monroe,43.464484000000006,-77.664658,14468,Monroe County,NY,17813,336.0
ND,Ward,48.216685999999996,-101.540537,58733,Ward County,ND,402,4.0
OH,Stark,40.814131,-81.365667,44703,Stark County,OH,8895,8117.0
OR,Deschutes,43.915118,-121.225575,97702,Deschutes County,OR,40583,495.0
OR,Linn,44.488898,-122.537208,97345,Linn County,OR,574,15.0
OR,Polk,44.900375,-123.398673,97338,Polk County,OR,20045,185.0
OR,Umatilla,45.5912,-118.73388,97801,Umatilla County,OR,21521,44.0
PA,Bucks,40.336887,-75.10706,18902,Bucks County,PA,20973,754.0
SC,Lancaster,34.686818,-80.703688,29058,Lancaster County,SC,4746,33.0
SD,Bon Homme,42.985799,-97.884199,57066,Bon Homme County,SD,1508,13.0
TX,Gregg,32.486397,-94.816276,75604,Gregg County,TX,29934,637.0
VT,Chittenden,44.463328999999995,-73.06940999999999,05495,Chittenden County,VT,9341,279.0
VA,Arlington,38.878337,-77.100703,22201,Arlington County,VA,33476,14311.0
WA,Island,48.158553999999995,-122.670649,98239,Island County,WA,6646,227.0
WA,Thurston,46.935821999999995,-122.830152,98501,Thurston County,WA,38133,1107.0
WI,Fond du Lac,43.754721999999994,-88.493284,54935,Fond du Lac County,WI,41651,2639.0
WI,Waukesha,43.018368,-88.30424000000001,53188,Waukesha County,WI,35195,1278.0
WY,Sheridan,44.781369,-106.88121100000001,82801,Sheridan County,WY,24558,38.0
AK,Anchorage,61.17425,-149.284329,99577,Anchorage Municipality,AK,25771,120.0
AR,Pulaski,34.770311,-92.312996,72202,Pulaski County,AR,9978,1150.0
CA,Tulare,36.228834,-118.78105500000001,93265,Tulare County,CA,3699,10.0
CO,Adams,39.874325,-104.331872,80136,Adams County,CO,4834,24.0
CT,Litchfield,41.791883,-73.235404,06759,Litchfield County,CT,5720,114.0
FL,Clay,29.986584000000004,-81.865036,32043,Clay County,FL,24632,121.0
FL,Duval,30.335245,-81.648113,32202,Duval County,FL,7915,4003.0
FL,Palm Beach,26.649126000000003,-80.44835400000001,33430,Palm Beach County,FL,21427,188.0
FL,Sarasota,27.184386,-82.365835,34241,Sarasota County,FL,13590,198.0
FL,Seminole,28.690092,-81.131989,32766,Seminole County,FL,15698,359.0
IA,Carroll,42.039491999999996,-94.86764699999999,51401,Carroll County,IA,12373,71.0
KS,Wyandotte,39.115384000000006,-94.763087,66112,Wyandotte County,KS,11458,1838.0
KY,Montgomery,38.038109000000006,-83.91241600000001,40337,Montgomery County,KY,5501,95.0
ME,Androscoggin,44.167681,-70.207435,04236,Androscoggin County,ME,4350,135.0
MI,Ingham,42.603534,-84.373811,48819,Ingham County,MI,2701,61.0
MI,Kent,43.032497,-85.547446,49525,Kent County,MI,27383,1164.0
MI,Montcalm,43.312782,-85.149468,48888,Montcalm County,MI,6366,72.0
